thickness_cm,n,absorbed_count,absorbed_fraction,absorbed_uncertainty,reflected_count,reflected_fraction,reflected_uncertainty,transmitted_count,transmitted_fraction,transmitted_uncertainty,max_steps_count,max_steps_fraction,max_steps_uncertainty,material
1.0,3000.0,1.0,0.0003333333333333333,0.0003332777731473764,530.0,0.17666666666666667,0.0069631304156381555,2469.0,0.823,0.00696828529840735,0.0,0.0,0.0,Graphite
3.0,3000.0,2.0,0.0006666666666666666,0.00047124735975289457,1111.0,0.37033333333333335,0.008816396761254104,1887.0,0.629,0.008819656077950735,0.0,0.0,0.0,Graphite
5.0,3000.0,8.0,0.0026666666666666666,0.0009415511236882033,1556.0,0.5186666666666667,0.009122345377433656,1436.0,0.4786666666666667,0.009120396352660867,0.0,0.0,0.0,Graphite
7.0,3000.0,17.0,0.005666666666666667,0.0013704689654221234,1776.0,0.592,0.008972847931398369,1207.0,0.4023333333333333,0.008952862153565234,0.0,0.0,0.0,Graphite
9.0,3000.0,22.0,0.007333333333333333,0.0015577286408481159,1930.0,0.6433333333333333,0.008745580894668186,1048.0,0.34933333333333333,0.008704396505129951,0.0,0.0,0.0,Graphite
11.0,3000.0,26.0,0.008666666666666666,0.0016922918932181445,2110.0,0.7033333333333334,0.008339775287851096,864.0,0.288,0.00826752683696884,0.0,0.0,0.0,Graphite
13.0,3000.0,25.0,0.008333333333333333,0.0016597076940321838,2221.0,0.7403333333333333,0.008004996125106056,754.0,0.25133333333333335,0.007919698834528345,0.0,0.0,0.0,Graphite
15.0,3000.0,43.0,0.014333333333333333,0.002170091310589556,2277.0,0.759,0.007808520986717011,680.0,0.22666666666666666,0.007643927631108868,0.0,0.0,0.0,Graphite
17.0,3000.0,43.0,0.014333333333333333,0.002170091310589556,2414.0,0.8046666666666666,0.0072382829967293175,543.0,0.181,0.0070294380998768315,0.0,0.0,0.0,Graphite
19.0,3000.0,56.0,0.018666666666666668,0.00247104716144271,2402.0,0.8006666666666666,0.007293822855804208,542.0,0.18066666666666667,0.0070243913668070965,0.0,0.0,0.0,Graphite
21.0,3000.0,64.0,0.021333333333333333,0.0026380688784426016,2392.0,0.7973333333333333,0.007339229952542453,544.0,0.18133333333333335,0.0070344759472082815,0.0,0.0,0.0,Graphite
23.0,3000.0,68.0,0.02266666666666667,0.0027174061706517665,2472.0,0.824,0.00695279320369399,460.0,0.15333333333333332,0.006578303282311791,0.0,0.0,0.0,Graphite
25.0,3000.0,58.0,0.019333333333333334,0.002513931552738032,2509.0,0.8363333333333334,0.0067547486725732155,433.0,0.14433333333333334,0.006416157266937437,0.0,0.0,0.0,Graphite
27.0,3000.0,68.0,0.02266666666666667,0.0027174061706517665,2580.0,0.86,0.006335087476375787,352.0,0.11733333333333333,0.005875548831732579,0.0,0.0,0.0,Graphite
29.0,3000.0,74.0,0.024666666666666667,0.0028318558239090155,2541.0,0.847,0.006572442468367449,385.0,0.12833333333333333,0.006106387062982739,0.0,0.0,0.0,Graphite
